Level code,University,City,Courses,Faculty,Int fees,Local fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks,Subject or unit name 1,Subject or unit name 2,Subject or unit name 3,Subject or unit name 4,Subject or unit name 5,Subject or unit name 6,Subject or unit name 7,Subject or unit name 8,Subject or unit name 9,Subject or unit name 10,subject or unit description 1,subject or unit description 2,subject or unit description 3,subject or unit description 4,subject or unit description 5,subject or unit description 6,subject or unit description 7,subject or unit description 8,subject or unit description 9,subject or unit description 10,Subect or unit objective 1,Subect or unit objective 2,Subect or unit objective 3,Subect or unit objective 4,Subect or unit objective 5,Subect or unit objective 6,Subect or unit objective 7,Subect or unit objective 8,Subect or unit objective 9,Subect or unit objective 10
BA,University of Tasmania,Distance Hobart,Bachelor of Education (Applied Learning) (43F),"College of Arts, Law and Education",,,AUD,Year,4,Years,,,,,,,https://www.utas.edu.au/courses/43f,English,A,"The Bachelor of Education (Applied Learning) is a contemporary, flexible and creative response to the demand for a more skilled teaching workforce in the Vocational Education and Training (VET) sector. It offers students the opportunity to integrate theory with practice, recognising existing skills and knowledge of experienced vocational practitioners, whilst facilitating the further development of their teaching practices and professionalism.",Graduates of Bachelor of Education (Applied Learning) are deemed to be qualified to teach in public and private sector schools in all states and territories of Australia by the Australian Institute for Teaching and School Leadership.,Australia,Yes,Yes,,Yes,Yes,,The Arts and Dementia Care FXA100,Creativity for Life FXA101,"Society, Culture and Health HGA138",Brain and Behaviour PSY112,,,,,,,"Practical interventions employing arts-based activities, including music, theatre, dance and visual arts, are increasingly being employed nationally and internationally to improve mood and well-being, physical activity and cognitive processing for people with dementia. Arts-based programs have also been shown to have some capacity to enhance communication of emotions and relationships with carers. This unit will explore the evidence-based research on the benefits that can be conferred through the stimulation of sensory perception, reminiscence and subconscious movement using music, theatre and visual arts. These will be dealt with in three separate modules. Students will develop knowledge of the evidence-based literature for interventions employing music, theatre, dance and visual arts, and each module will also provide an introduction to key elements of successful program design and the range of activities that can be employed.","This unit will provide an introduction to existing evidence-based research on the benefits of engagement with the arts in ageing, and strategies to mitigate risk factors for dementia employing creativity. The unit offers opportunities for students to undertake creative tasks and develop their own creativity.","HGA138: Society Culture and Health explores the ways in which social and cultural factors and power relations shape the distribution of health and illness and experiences of health and illness in contemporary Australia. The unit will help you to develop critical thinking skills and provide an understanding of the role of social and cultural factors in health and illness related issues such as health inequality, wellness, alternative medicine, chronic illness and cosmetic surgery.","Brain and Behaviour is intended for students of Psychology, Medicine, Pharmacy, and allied science, medical and health professions and introduces major theoretical and empirical areas in psychology, biological bases of behaviour, and their associated practical applications. Lecture topics include nervous system physiology, sensation and perception, learning, motivation, emotion, psychological development, language, and states of consciousness. In tutorial sessions, students will engage with neuroscientific research and related theory through demonstrations and activities in areas related to the lecture topics. Critical thinking and analysis are emphasised in discussions of contemporary research and debates in the field of neuroscience and the biology of behaviour.",,,,,,,2020: $835.00,,,,,,,,,
ADEG,University of Tasmania,Domestic,Associate Degree (Education Support) (42A),"College of Arts, Law and Education",,,AUD,Year,2,Years,ATAR,,,,,,https://www.utas.edu.au/courses/42a,English,A,Students undertaking the Associate Degree (Education Support) will graduate with a qualification informed by core theoretical knowledge.,"Graduates will be highly sought in education careers other than teaching in particular in a classroom setting as Integration Aides, Teacher Aides, and School Support Officers. Graduates will also be highly sought after in the industry training sector, and will be suited to communication-based jobs, public relations and other sectors that value graduates with well-developed problem-solving, communication and critical thinking skills.",Australia,Yes,Yes,,Yes,Yes,,Neurobiology of Dementia 1 CAD502,Policies and Systems in Dementia 1 CAD503,Methods for Dementia Research CAD600,Health and Social Care in Dementia 1 CAD501,Public Health and Dementia 1 CAD504,,,,,,"This unit examines the neurobiology, pathology and disease processes of the primary diseases causing dementia. Damage and pathology are contextualised in terms of the functions of the nervous system, providing insights to the causes, symptoms and progression of the most common dementias. Current research on causes, risk factors including genetics, and the prospects for effective treatments are explored. Students choose five content modules from a range of options to tailor their learning to particular interests, and are assessed both online for the content modules, and in the form of a written MyContext assignment requiring the student to directly relate the course material to their individual professional and/or personal context.","This unit examines the effect of policies and systems on the societal impact of dementia, and the effective provision of support, services and resources to people with dementia and the people who care for them, including approaches enabling independent living and optimum health. National approaches to dementia care and health system design are compared and contrasted with respect to current and anticipated needs and financial impact. Students choose five content modules from a range of options to tailor their learning to particular interests, and are assessed both online for the content modules, and in the form of a written MyContext assignment requiring the student to directly relate the course material to their individual professional and/or personal context.","This unit provides students with a working knowledge of the major research techniques and design approaches used to build the evidence base in the four content domains of the course: Individual and Social Health, Neurobiology, Health Care Policies and Health Systems, and Public Health Strategies. Students study the major research methods and use this knowledge in online journal-club-type discussions of papers from each domain, as well as a meta-analytical paper. Students then choose one technique and one paper of particular interest to their context, and make critical evaluations of each. This knowledge base supports the design and proposal of a major project topic in CAD700, Major Project in Dementia Studies.","This unit examines social, therapeutic and environmental factors influencing the health and wellbeing of people with dementia, and their carers. The impact of dementia on individuals, and provision for the rights and needs of people with dementia, are the focus of the curriculum. Students choose five content modules from a range of options to tailor their learning to particular interests, and are assessed both online for the content modules, and in the form of a written MyContext assignment requiring the student to directly relate the course material to their individual professional and/or personal context.","This unit examines the evidence base for, and the potential impact of, public health interventions aimed at reducing the incidence of dementia in the general population. The large scale impact of dementia on societies, both current and forecast, is surveyed, and used to inform an evaluation of effective public health strategies designed to reduce this impact. Students choose five content modules from a range of options to tailor their learning to particular interests, and are assessed both online for the content modules, and in the form of a written MyContext assignment requiring the student to directly relate the course material to their individual professional and/or personal context.",,,,,,,,,,,,,,,
BA,University of Tasmania,Distance Launceston,Bachelor of Education (Honours) (E4C),"College of Arts, Law and Education","30,950",,AUD,Year,1,Year,,,,,,,https://www.utas.edu.au/courses/e4c,English,A,The course provides students with the opportunity to engage in educational research at an appropriate level as preparation for future higher degree study.,"For those students wishing to pursue a higher degree by research, the Honours program will provide a sound basis for future study. Those students gaining a first class honours degree or an upper second award are able to proceed to a doctoral program. Students with a lower second class award or third class honours will have access to the master degree by research program.",Australia,Yes,Yes,,Yes,Yes,,Material Science ZAE102,Introduction to Fabrication ZAE105,Supply Chain and Logistics Management ZAA254,Lean Manufacturing ZAE201,Fabrication Project ZAE205,Intelligent Systems and Robotics ZAT216,Advanced Manufacturing ZAE206,Electrical Systems ZAT112,Programming Principles ZAT113,Advanced Equipment Design ZAE204,"In this unit you will explore the application of material science in manufacturing. This will include practicals where you examine the physical properties and characteristics of traditional and contemporary materials including metals, polymers and composites. There is also a focus on learning fabrication principles, approaches, tool sets, skills and standards required for specific materials. By engaging in practical activities and conducting research, you will investigate material properties for informing equipment design and fabrication decisions. Overall, the unit enables you to learn how material performance and life cycles can be managed in the context of environmental sustainability, innovation, and the circular economy. There will also be experiences that allow you to gain insights into how material sciences are applied, including case studies, a site visit and industry interactions.  You will be introduced to:-a range of methods, tools, techniques and approaches to practice-principles and perspectives such as values, ethics, empathy and leadership in real world scenarios-reflection and deliberative thinking as a means of developing knowledge, skills, attitudes and aspirations-ways of understanding problems and developing solutions through active inquiry","This unit introduces key concepts, processes and principles of industry 4.0 driven fabrication in a manufacturing environment. You will undertake small-scale project work to create fabricated objects that relates to a local industry, organisation or community need or opportunity. To achieve this, you will use common materials and Industry 4.0 equipment. This will include activities such as component fabrication, additive manufacturing, laser-cutting, and forming and shaping using various materials and approaches. To enable this, you will apply key industry 4.0 fabrication processes and techniques, interpret geometrical and quantitative information in engineering design specifications, prepare required toolsets and machinery, manage the fabrication process end-to-end, analyse outputs and finished products, and evaluate their conformance to requirements, standards and safety.","This unit will provide you with an understanding of how organisations manage the supply chain and logistics processes associated with manufactured and purchased goods, ensuring the successful flow of materials between organisations and external suppliers. The logistics aspects and methodologies you will be exposed to include manufacturing demand planning, inventory and stock control, packaging, warehousing, distribution networks, transportation, value chains and managing supplier relationships.  You will also consider how current and future use of technologies and automated processes in the logistics environment can be utilised to achieve logistics improvements for the organisation. In conjunction with the discipline theory, this unit builds on concepts of learning through practice in Year 1 of study by introducing you to more complex learning experiences.","You will engage in practical workshops that will enable you to acquire and apply core principles and practices of ‘Lean’ manufacturing. Through observation and practice, you will gain insight into the use of Lean as a systematic approach to reduce wasted materials and effort, maximise use of time and space, increase value creation from the customer’s point of view, and engage in a continuous cycle of refinement and improvement. The unit is underpinned by DMAIC methodology and throughout the workshops and assessment tasks you will have the opportunity to apply the five phases of this process: Define, Measure, Analyse, Improve and Control.","Building on the skills and knowledge you gained in ZAE105 ‘Introduction to Fabrication’, you will extend your ability to work with additional techniques and elements of fabrication, engineering, manufacturing and associated industries. You will also develop your ability to interpret technical drawings and job specifications by extending your knowledge of mathematical, statistical, mechanics, geometry and other engineering concepts.",,"You will develop self-guided inquiry skills, enabling you to explore and continuously develop your awareness of advancements in the field of manufacturing and engineering. You will identify areas of new research and practice that aim to extend the precision, inter-operability/connectivity, automation, tele-presence, speed and scale, durability and sustainability of manufacturing systems, processes and outputs. This includes innovations at each stage in the design, production and application of engineered objects. You will focus on assessing the positive and negative impacts of ‘disruptive’ technologies such as the Internet of Things, artificial intelligence, micro- and nano-electromechanics (N/MEMS) and ‘Industry 4.0’ on society, individuals, the environment and economics. You will also examine the presence and influence of high-tech and advanced manufacturing in Tasmania, and the international contribution that Tasmania makes to advanced manufacturing. You will reflect on our own role and professional development plans in the context of local and global innovation and development.","In this unit you will learn about the fundamentals of electrical circuits and systems.  This includes studying voltage, current, impedance, electrical energy, power and resistors, inductors, capacitors, and electrical units and measurements.  You will also investigate operational amplifiers, sensors and actuators, and simple controllers.  There will be opportunities to interact with other students and lecturers, perform circuit analysis, calculate electrical quantities, and report back on experiments. You will develop practical skills and knowledge of devices, equipment and techniques.  You will learn how to calculate, observe, analyse and problem solve through applied learning and will complete a practical project to develop hands-on application skills.","This unit introduces the concepts of software design and development in the context of computer programming. You will learn how to design, manage, and evaluate projects that solve real-world applied technology problems through industry best practice and design methodologies. You will learn to design and build programs for applied technology using the python language and how to apply programming practices in industry using concepts such as computational efficiency, coding best practice,, interfacing, and documenting.","Using more advanced features of digital design toolsets, you will engage more deeply in design methods and practices by developing more complex designs. In this unit, you will specify appropriate materials and joins based on knowledge of mechanics and progressing these from a concept to detailed design and evaluation. Technical drawing will be developed to convey detailed design information. These skills will be used to consider approaches to innovation by developing an equipment design idea that addresses sustainability through re-use, repurposing and/or recycling of manufactured objects. Through a process of appreciative inquiry (building on strengths) you will also reflect on the complete design process to identify your personal approach to creative and design thinking, critical thinking and pre-emptive problem-solving.","2020: $1,190.00","2020: $1,190.00",,,,"2020: $1,190.00",,"2020: $1,190.00","2020: $1,190.00",
BA,University of Tasmania,Distance Hobart,Bachelor of Dementia Care (M3S),College of Health and Medicine,"55,757",,AUD,Year,3,Years,,,,,,,https://www.utas.edu.au/courses/m3s,English,A,"Dementia is a neurological condition that affects tens of millions of people across the globe, posing significant challenges to people living with dementia, their families, communities and the health care sector. The Dementia Care Program provides students with a deep knowledge of dementia, the changes that occur in the brain, the behaviours and needs associated with changes, and practical strategies necessary to help care for people living with dementia.","“My goal is just to provide a tangible difference in quality care for dementia. I’ve loved the course because it’s so specific, just focusing on the one field. I feel like having a specific topic actually broadens what you can learn about the topic, because you can start to look at it from all these different angles, and actually get something that’s beginning to build a bigger picture of dementia, both from a personal perspective and care, but also looking at it in terms of social impact. The best bit about the course has been I think it’s changed my perspective; that I really do believe that people can live well with dementia, and that’s been inspiring and also it’s exciting to keep learning about how we can actually achieve that.”",Australia,Yes,Yes,,Yes,Yes,,Arts Education: Music & Visual Arts EPR130,Curriculum and Pedagogy EDU103,Foundations of Teaching EDU102,Personal and Professional Numeracy EDU120,Academic Literacies EDU106,Growth and Motor Development Across the Lifespan EDU104,Aboriginal and Torres Strait Islander Culturally Inclusive Curriculum and Pedagogy EDU190,Foundations of English EPR110,,,"In this unit you will learn about Music and the Visual Arts as key areas of the Early Years Learning Framework (EYLF) and the Australian Curriculum: The Arts. You will become familiar with the research that supports the practice of the Arts in education and apply this to your planning, teaching and reflection. You will experiment with, reflect on and apply the elements of Music and Visual Arts to Early Childhood and Primary contexts and to key Australian curriculum documents. As a culminating performance of your learning you will plan, teach and reflect on a short Music or Visual Arts teaching session.",,"This unit introduces you to the study of teaching as a profession and provides opportunities for you to critically examine the nature of teachers’ work. Through reflecting on your past educational experiences and dispositions (that is, your attitudes and beliefs) about teaching and teachers, you will establish a sound base to develop your knowledge and understanding of contemporary teaching practice.","This unit is the foundation mathematics and numeracy unit for the Bachelor of Education. It provides an opportunity to reflect upon and to develop understanding of concepts that are central to mathematics curricula; to consider the cross-disciplinary implications and opportunities afforded by these topics; and to develop quantitative literacy understandings that will enable students to be informed professionals. Foci of the unit include the development of a critical orientation to presentation of numeracy concepts in the media, and an appreciation of the importance of quantitative understandings to the personal and professional lives of all teachers.","Do you know how you learn best? Do you know what skills you will need to be successful in your university studies? Academic literacies are the skills that you need to engage successfully with higher education, and this is a foundational unit which assists you to develop these literacies. In this unit you will consider your preferred learning styles and strategies, and make a concrete plan for your studies during semester. You will reflect on the effectiveness of this plan during your learning and adjust as necessary to help you be a successful learner. You will complete quizzes to help you to consolidate your learning, and be supported in an essay writing and portfolio task. During the unit you will learn about academic integrity, referencing and writing conventions, communication and presentation, and the use of technologies. This content is delivered through the lens of the teaching profession, and links to the professional application of these literacies as a pre-service/education support teacher.","This introductory unit prepares educators from a variety of disciplines to meet the maturational needs of diverse learners by providing a foundational base of knowledge regarding physical and cognitive development from conception through adulthood, with an emphasis on early childhood and childhood. Teaching all children the benefits of lifelong physical activity participation through the use of developmentally appropriate assessment and programming strategies is the primary focus of this unit.","Students are enabled to consider constructively the interface of Aboriginal and Torres Strait Islander and non-Indigenous issues, histories, cultures and perspectives in education, the curriculum and the ‘hidden curriculum’ in relation to learners with diverse linguistic, cultural, religious and socioeconomic backgrounds. The unit has four foci which are integrated: identity/ nationalism, history, ethics and pedagogy. It considers these foci as they relate to Aboriginal and Torres Strait Islander children/students and non-Indigenous children/students, cultural engagement and racism in education and in Australian society.","This is the first of three English units you will undertake in the B.Ed. degree. The foundations of English are explored in two key modules, with the first focusing on the nature of language, culture, and how young people learn to use language from birth, and the second provoking curiosity about language functions and forms. It also introduces the beginnings of critical thinking about texts and their role in culture and society. This unit has a major focus on the Language Strand of the Australian Curriculum: English, and aims to develop understandings of the nature of language and how it works in contemporary society and schools. You will engage in close language studies of texts and consider the implications for learning contexts. This unit provides a foundation to the discipline of English and will be the basis for two English units that follow.",,,,,,2020: $835.00,,,2020: $835.00,2020: $835.00,,
DIP,University of Tasmania,Distance Hobart,Diploma of Dementia Care (M1D),,"17,950",,AUD,Year,1,Year,,,,,,,https://www.utas.edu.au/courses/m1d,English,A,"Dementia is a neurological condition that affects tens of millions of people across the globe, posing significant challenges to people living with dementia, their families, communities and the health care sector. The Diploma of Dementia Care provides students with a deep knowledge of dementia, the changes that occur in the brain, the behaviours and needs associated with changes, and practical strategies necessary to help care for people living with dementia.","Over 400,000 Australians are currently living with dementia, this number increases every year. The impact on communities, families, governments and health professionals will be significant as these numbers increase.  Our workforce is currently ill equipped to help care for such large numbers of people living with dementia – by 2050, it is estimated that there will be over 900,000 people in Australia living with dementia.",Australia,Yes,Yes,,Yes,Yes,,Health & Physical Activity ESP114,Foundations of Teaching EDU102,Fundamentals of Bioscience CXA107,Foundations of Literacy EDU112,Contemporary Health Issues of Young People 1 ESP170,Academic Literacies EDU106,Growth and Motor Development Across the Lifespan EDU104,Applied HPE Pedagogy 1 ESP180,,,"The aim of this unit is to equip you with the knowledge and ability to design and implement training programs for a range of clients with varying health and fitness goals. This unit will cover modules incorporating service and safety in fitness environments, fitness instructing and testing, providing nutritional information, working with special populations, and group fitness instructing. Health and Physical Activity provides a foundation for you to develop the skills required to work as a fitness professional in a number of different contexts.","This unit introduces you to the study of teaching as a profession and provides opportunities for you to critically examine the nature of teachers’ work. Through reflecting on your past educational experiences and dispositions (that is, your attitudes and beliefs) about teaching and teachers, you will establish a sound base to develop your knowledge and understanding of contemporary teaching practice.","Fundamentals of Bioscience is based on the structural organisation of the human body and the general functions of the body systems, emphasising the relationship between structure and function. Major concepts of human biology are introduced in the initial weeks and these concepts are contextualised in the functional anatomy of body systems, in subsequent weeks. Concepts of dysfunction are also introduced.",,"This is the first of four units of study that focuses on contemporary issues relating to the health of young people in Australian society. The unit emphasis follows the Teaching as Inquiry model by having a focus inquiry, whereby participants will examine a range of sensitive health topics including: mental health; body image; positive relationships and communication; loss and grief; sexualities education and drug education and their importance for young people. These contentareas are explored within the context of the Australian Curriculum by identifying appropriate learning experiences for primary and high school levels.","Do you know how you learn best? Do you know what skills you will need to be successful in your university studies? Academic literacies are the skills that you need to engage successfully with higher education, and this is a foundational unit which assists you to develop these literacies. In this unit you will consider your preferred learning styles and strategies, and make a concrete plan for your studies during semester. You will reflect on the effectiveness of this plan during your learning and adjust as necessary to help you be a successful learner. You will complete quizzes to help you to consolidate your learning, and be supported in an essay writing and portfolio task. During the unit you will learn about academic integrity, referencing and writing conventions, communication and presentation, and the use of technologies. This content is delivered through the lens of the teaching profession, and links to the professional application of these literacies as a pre-service/education support teacher.","This introductory unit prepares educators from a variety of disciplines to meet the maturational needs of diverse learners by providing a foundational base of knowledge regarding physical and cognitive development from conception through adulthood, with an emphasis on early childhood and childhood. Teaching all children the benefits of lifelong physical activity participation through the use of developmentally appropriate assessment and programming strategies is the primary focus of this unit.","Physical activity plays an important part in contemporary Australian society, with the learning of skills and techniques essential for effective participation, teaching and coaching.  Whatever your area of interest, it is important that you have knowledge and skills that enable you to work with people in a range of physical activities.  A study of various physical activities enables better decision-making by you in understanding that it is required when planning sequences of learning experiences.  It is important that you develop both a personal understanding of the structures (techniques, skills, safety issues, etc) of the physical activities, as well as the pedagogical knowledge required to teach these physical activities in any context.",,,,,,,,,,,,
DIP,University of Tasmania,Distance Hobart,Diploma of Ageing Studies and Services (M1A),,,,AUD,Year,1,Year,,,,,,,https://www.utas.edu.au/courses/m1a,English,A,"The Diploma of Ageing Studies and Services will cover contemporary issues relating to care and services for older people. You will learn about the many social and health challenges that are associated with ageing. Areas of focus include the idea of ‘care navigation’, policy, safety and health promotion. Content also looks at the rising impact of dementia.","As a graduate of the Diploma of Ageing Studies and Services, you will be equipped with contemporary knowledge to assist older adults and their families in navigating the complexity of the aged care system and the trajectory of the needs of older adults across complex health and social systems. Numerous current and emerging careers are important in supporting an ageing population and you could work in a variety of roles including:",Australia,Yes,Yes,,Yes,Yes,,Arts Education: Music & Visual Arts EPR130,Foundations of Teaching EDU102,Foundations of Numeracy Support EES162,Foundations of Literacy Support EES160,Education Support in Practice EES163,The Role of Education Support EES161,Academic Literacies EDU106,Growth and Motor Development Across the Lifespan EDU104,,,"In this unit you will learn about Music and the Visual Arts as key areas of the Early Years Learning Framework (EYLF) and the Australian Curriculum: The Arts. You will become familiar with the research that supports the practice of the Arts in education and apply this to your planning, teaching and reflection. You will experiment with, reflect on and apply the elements of Music and Visual Arts to Early Childhood and Primary contexts and to key Australian curriculum documents. As a culminating performance of your learning you will plan, teach and reflect on a short Music or Visual Arts teaching session.","This unit introduces you to the study of teaching as a profession and provides opportunities for you to critically examine the nature of teachers’ work. Through reflecting on your past educational experiences and dispositions (that is, your attitudes and beliefs) about teaching and teachers, you will establish a sound base to develop your knowledge and understanding of contemporary teaching practice.","This unit introduces you to pedagogies appropriate for supporting the learning of mathematics in classrooms. The unit will provide opportunities for you to develop your personal numeracy skills and to identify where these skills can be applied in the context of education support. You will develop an understanding of appropriate pedagogies for individualising numeracy development, along with the theoretical underpinnings of how children learn mathematics. The unit will provide opportunities for you to deepen your own mathematical content knowledge, along with assessing children’s mathematical thinking using work samples and practical classroom examples.","This unit introduces you to pedagogies appropriate for supporting the learning of literacy in classrooms. Opportunities are provided for you to develop your personal literacy skills and identify where these skills can be applied in the context of education support. Through this unit you will develop an understanding of appropriate pedagogies for individualising literacy development, along with the theoretical underpinnings of how children learn in and through literacy. You will deepen your own content knowledge, along with assessing children’s literacy thinking using work samples and practical classroom examples.","This unit will assist you to develop your understanding of working with children in the classroom in a support capacity. It will provide opportunities to engage in practical activities through work-integrated learning, online collaboration, and discussion. The unit has a specific focus on differentiated support and planning, and theory relevant to providing effective classroom support.","Foundations of Education Support introduces concepts and theories that deepen and broaden your understanding of the professional activity undertaken by education support workers in the classroom. It discusses the practical skills required in work contexts and provides opportunities to critically examine the nature of support for student learning and development. You will develop practical skills in reflection and observation by engaging in tutorials, lectures and on-line activities. This engagement in the activities of the unit will assist you in completing your assessment tasks.","Do you know how you learn best? Do you know what skills you will need to be successful in your university studies? Academic literacies are the skills that you need to engage successfully with higher education, and this is a foundational unit which assists you to develop these literacies. In this unit you will consider your preferred learning styles and strategies, and make a concrete plan for your studies during semester. You will reflect on the effectiveness of this plan during your learning and adjust as necessary to help you be a successful learner. You will complete quizzes to help you to consolidate your learning, and be supported in an essay writing and portfolio task. During the unit you will learn about academic integrity, referencing and writing conventions, communication and presentation, and the use of technologies. This content is delivered through the lens of the teaching profession, and links to the professional application of these literacies as a pre-service/education support teacher.","This introductory unit prepares educators from a variety of disciplines to meet the maturational needs of diverse learners by providing a foundational base of knowledge regarding physical and cognitive development from conception through adulthood, with an emphasis on early childhood and childhood. Teaching all children the benefits of lifelong physical activity participation through the use of developmentally appropriate assessment and programming strategies is the primary focus of this unit.",,,,,,,,,,,,
DIP,University of Tasmania,Hobart,Diploma of University Studies (21A),,,,AUD,Year,1,Year,,,,,,,https://www.utas.edu.au/courses/21a,English,A,Students completing the Diploma of University Studies will meet the University’s General Entry Requirements and will have guaranteed entry into specified bachelor degrees (dependent on specialisation).,The Diploma of University Studies is a pathway program for bachelor level study.,Australia,Yes,Yes,,Yes,Yes,,Applied Professional Knowledge and Skills EAL111,Professional Knowledge and Skills EAL100,,,,,,,,,"In this unit, you will apply your trade or discipline knowledge and skills to a range of work and learning contexts. This will enable you to build a theoretical understanding of how knowledge and skills are adapted and applied, according to community and professional expectations, and with reference to your own experience of learning. Drawing on your professional experience and new insights into relationship of work to learning, you will be able to communicate the value of your knowledge, skills and workplace learning to date to a non-specialist audience.","In this unit, you will draw on your workplace learning and experience in a recognised trade or professional discipline to develop greater understanding of its technical and procedural dimensions. You will reflect on your own acquisition of skills and knowledge, explain how you have applied them in workplace settings, and evaluate the ways in which they can be used to address a variety of predictable problems. As a reflective practitioner, you will be encouraged to recognise and value your own learning and work experience. By the end of this unit, you will gain new insight into how you have developed competence and confidence in your trade or professional discipline area.",,,,,,,,,,,,,,,,,,
DIP,University of Tasmania,Distance Hobart,Diploma of Creative Arts and Health (A1C),"College of Arts, Law and Education","12,000",,AUD,Year,1,Year,ATAR,,,50,,,https://www.utas.edu.au/courses/a1c,English,A,,"Graduates will be eligible for membership of ANZACATA (Australian, New Zealand and Asian Creative Arts Therapies Association)",Australia,Yes,Yes,,Yes,Yes,,Academic Numeracy XAB091,Curriculum and Pedagogy ESH103,Growth and Motor Development Across the Lifespan ESP160,Foundations of Education Support ESH161,Academic Literacies ESH106,The Role of the Paraprofessional ESH162,The Role of the Paraprofessional in Supporting Learning ESH163,Curriculum and Pedagogy in Early Childhood ESH105,,,"In this unit you will develop the mathematical knowledge, skills, and confidence essential for further University study. In particular, you will explore and apply methods for:","This unit offers an introduction to curriculum frameworks and the associated range of pedagogies involved in teaching and learning. Curriculum documents are not value-neutral; they are constructed by people who have particular viewpoints, perspectives and ideologies about education and schooling, and are implemented in a 'context that is part of the social, political and economic structures of society' (Brady & Kennedy, 2003, p. 3). These viewpoints affect the 'what' of the curriculum (as in, what to teach) as well as the 'how' (as in, how to teach). Through this unit you will develop a capacity to think critically about the way curriculum is constructed and the implications of this construction for your professional practice. This unit, therefore, is a mix of the theoretical and the practical as it is important to come to an understanding that teaching takes place within a broad social, political, and economic context. Throughout this unit, you will examine teaching strategies that fulfil particular purposes and apply that knowledge to specific classroom contexts. This unit aims to foster innovation, professionalism, collegiality, and ethical and equitable practice in all students.","This introductory unit prepares educators from a variety of disciplines to meet the maturational needs of diverse learners by providing a foundational base of knowledge regarding physical and cognitive development from conception through adulthood, with an emphasis on childhood. Teaching all children the benefits of lifelong physical activity participation through Gallahue's lifespan motor development model and the use of developmentally appropriate assessment and programming strategies will be the primary focus of this unit.","Foundations of Education Support introduces concepts and theories that deepen and broaden your understanding of the professional activity undertaken by education support workers in the classroom. It discusses the practical skills required in work contexts and provides opportunities to critically examine the nature of support for student learning and development. You will develop practical skills in reflection and observation by engaging in tutorials, lectures and on-line activities. This engagement in the activities of the unit will assist you in completing your assessment tasks.",,"This unit is pivotal to the
course. A number of researchers have written about the importance of Teaching Assistants
(TAs) and Paraprofessionals being clear about their role and how this assists Paraprofessionals'
effectiveness in working with children. Giangreco (2003), Causton (2009) and others claim that without
training, many TAs instincts while well intentioned are wrong. This unit
explores these contentions within a broader examination of the role of the Paraprofessional.","This unit is pivotal
 to the course. Research highlights the importance of Teaching Assistants (TAs)
 and Paraprofessionals being clear about their role and how this assists
 Paraprofessionals' effectiveness in working with children. Giangreco (2003),
 Causton (2009) and others claim that without training, many TAs instincts
 while well intentioned are wrong. This unit explores these contentions within
 a broader examination of the role of the Paraprofessional and extends on the
 content covered in ESH162.","This unit is designed for students enrolled in the Bachelor of Education (Early Childhood) specialising in teaching young children from birth to 8 years. The unit introduces and interrogates current early childhood curriculum frameworks that guide reflective practice in child care, kindergarten, preparatory and early years of schooling to age 8 (EYLF in the context of the NQF, and State and National Curricula). Students will use theory and research to inform their understanding of curriculum and pedagogy that prioritises relationships, contexts and transitions. Strategies for creating emergent and play-based curriculum will be introduced and contextualised for specific early childhood settings.",,,"2020: $1,190.00",,,,70101,,,,,
DIP,University of Tasmania,Distance Hobart,Graduate Diploma of Dementia (M6X),,"12,000",,AUD,Year,1,Year,,,,,,,https://www.utas.edu.au/courses/m6x,English,A,,"The Master of Dementia program provides students with an in-depth understanding of dementia and its impact on individuals, societies and governments. Graduates will possess the skills and critical faculties to identify and evaluate primary evidence, international practices and appropriate resources to inform their professional and personal dealings in meeting and anticipating the needs of people with dementia. As expectations increase around quality of care, and decision making, affecting people living with dementia, a variety of opportunities may become available for those with advanced studies in dementia. Refer to the specific units available at each exit point for further details.",Australia,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BA,University of Tasmania,Distance Launceston,Bachelor of Education with Professional Honours (E4D),"College of Arts, Law and Education",,,AUD,Year,1,Year,,,,,,,https://www.utas.edu.au/courses/e4d,English,A,Upon completion of the Bachelor of Education with Professional Honours graduates will be able to:,,Australia,Yes,Yes,,Yes,Yes,,Understanding Educational Inquiry ESH714,Improving Teaching and Practice through Action Research ESM708,,,,,,,,,"This unit is an introduction to research as an inquiry. In this unit, you will consider the importance of impetus in your proposed research. You will also learn the importance of developing succinct and robust research questions. You will consider the similarities and differences between qualitative and quantitative enquiry and identify which approach will be most suitable for your research inquiry. An important part of this unit will be for you to think about your research inquiry including ethical considerations and hold it up to critical examination and possible revision.","The aim of this unit is to show you a way to improve your practice and that of the colleagues you work with. It is a unit which integrates practice, action, theory and research in a very practical way. The unit aims to relate to and be applied to your own practice and interests and draw upon the other units you have taken. The action research approach is very flexible and has been applied in a wide variety of contexts and to diverse issues; so it will almost certainly relate to your needs and interests.",,,,,,,,,2020: $835.00,,,,,,,,,
