Level code,University,City,Courses,Faculty,Int fees,Local fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks,Course delivery mode,Free TAFE,Subject or unit name 1,Subject or unit name 2,Subject or unit name 3,Subject or unit name 4,Subject or unit name 5,Subject or unit name 6,Subject or unit name 7,Subject or unit name 8,Subject or unit name 9,Subject or unit name 10,subject or unit description 1,subject or unit description 2,subject or unit description 3,subject or unit description 4,subject or unit description 5,subject or unit description 6,subject or unit description 7,subject or unit description 8,subject or unit description 9,subject or unit description 10,Subect or unit objective 1,Subect or unit objective 2,Subect or unit objective 3,Subect or unit objective 4,Subect or unit objective 5,Subect or unit objective 6,Subect or unit objective 7,Subect or unit objective 8,Subect or unit objective 9,Subect or unit objective 10
CERTIII,TAFE SA,,Certificate III in Floristry,Arts and Design,,,AUD,Year,36,Months,,,,,,,https://www.tafesa.edu.au/xml/course/aw/aw_TP00849.aspx?S=APP&Y=2021,English,A,"This Floristry course can prepare you for work in the floristry industry or enhance existing floristry skills and knowledge. Participants will develop sound knowledge of the principles and elements of design, floristry construction skills, effective sales techniques and flower and plant care and recognition.","Job role titles may include: Florist - in any environment including a retail shop florist, studio florist or in-house florist.",Australia,Yes,Yes,,Yes,Yes,"

Important Information



Reading, writing and numeracy skills are assessed using the Core Skills Profile for Adults (CSPA). This assessment is used to determine whether you will be required to undertake additional support units alongside your qualification or undertake a pathway course before commencing your chosen qualification. If you receive an offer, more information will be provided at your enrolment session.


",Apprenticeships & Traineeships,No,Construct floristry products with a base medium,Construct hand tied floristry products,Construct wired floristry products,Design floristry products,Develop drawing skills to communicate ideas,Interpret floristry design briefs,Maintain floristry tools and equipment,Participate in Safe Work Practices,Prepare and care for floristry stock,Prepare quotations for floristry products,,,,,,,,,,,,,,,,,,,,
CERTII,TAFE SA,,Certificate II Floristry (Assistant) (SFL20115),,,,AUD,Year,,Months,,,,,,,https://www.tafesa.edu.au/xml/course/vet/vet_T708833258.aspx,English,A,,,Australia,Yes,Yes,,Yes,Yes,,Normal,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTI,TAFE SA,Adelaide College of the Arts,Certificate IV in Design,Arts and Design,"$8,083",,AUD,Year,6,Months,,,,,,,https://www.tafesa.edu.au/xml/course/aw/aw_TP00926.aspx?S=AWD&Y=2021,English,A,"This course is suited to individuals who wish to make a start in their graphic design career, have a strong creative flair for arts and visual communication and want to produce graphics in a commercial context.","This qualification provides a pathway to a career in design. There are limited job outcomes at this level, though in areas such as graphic and digital design there may be some employment opportunities as a junior design assistant Graphic and Multimedia Designer",Australia,Yes,Yes,,Yes,Yes,"No course admission requirements, however, students wishing to access subsidised training will be required to demonstrate satisfactory reading, writing and numeracy skills",Normal,No,Contribute to health and safety of self and others,Develop and extend critical and creative thinking skills,Generate design solutions,Integrate colour theory and design processes,Interpret and respond to a design brief,Realise a creative project,,,,,,,,,,,,,,,,,,,,,,,,
DIP,TAFE SA,Adelaide College of the Arts,Diploma of Graphic Design,Arts and Design,"$17,677 -
                          $18,496",,AUD,Year,12,Months,,,,,,,https://www.tafesa.edu.au/xml/course/aw/aw_TP00927.aspx?S=AWD&Y=2021,English,A,"This course is suited to individuals who wish to make a start in their graphic design career, have a strong creative flair for arts and visual communication and want to produce graphics in a commercial context.",Graphic and multimedia designer.,Australia,Yes,Yes,,Yes,Yes,Certificate IV in Design or,Normal,No,Create and manipulate graphics,Design and manipulate complex layouts,Develop and extend design skills and practice,Develop graphic design practice to meet industry needs,Present a body of own creative work,Produce graphic designs for 2-D and 3-D applications,Produce typographic design solutions,Refine drawing and other visual representation tools,Research visual communication history and theory,,,,,,,,,,,,,,,,,,,,,
DIP,TAFE SA,Online,Diploma Program in Visual Communication,Arts and Design,"$10,000",,AUD,Year,12,Months,,,,,,,https://www.tafesa.edu.au/xml/course/aw/aw_CP00242.aspx?S=AWD&Y=2021,English,A,"Immerse yourself into the exciting field of visual communication creation and discover how to connect with audiences in compelling and dynamic ways.
You will learn the key concepts and technical skills of graphic design, traditional print media and digital design. 
A hands-on project driven approach lets you apply theory and technical knowledge in a practical, industry current way.  You’ll learn about creative thinking, typography, design foundations, branding, drawing, page layout, interactive design, illustration, photography and the Adobe Creative Suite.
Start your design career with a professionally presented portfolio of the work you complete throughout the course and have the skills to back it up.
The course is delivered fully online with lecturer support throughout.  You will use a range of modern learning methodologies including web conferencing, instructional video, one-on-one online meetings, discussion forums underpinned by a dynamic online learning platform.","- Graphic Design
- Packaging Design
- Interface Design
- Web Design
- Branding and Identity Design
- Illustration
- Marketing and Promotion
- Magazine and Publishing Design",Australia,Yes,Yes,,Yes,Yes,Certificate IV in Design or,Normal,No,"

",,,"

",,,,,,,,,,,,,,,,,,,,,,,,,,
ADIP,TAFE SA,Adelaide College of the Arts,Advanced Diploma of Graphic Design,Arts and Design,"$13,230 -
                          $14,411",,AUD,Year,12,Months,,,,,,,https://www.tafesa.edu.au/xml/course/aw/aw_TP00928.aspx?S=AWD&Y=2021,English,A,"Design your career with this qualification. You’ll learn the skills required to establish, negotiate and refine a design brief, manage design realisation, manage projects, originate graphic designs for complex briefs and extend typographic design expertise.","Graphic designer, Web and multimedia designer, Advertising creative team member.",Australia,Yes,Yes,,Yes,Yes,Diploma of Graphic Design or,Normal,No,Engage in the business of graphic design,Establish and maintain environmentally sustainable creative practice,"Establish, negotiate and refine a design brief",Extend typographic design expertise,Manage design realisation,Originate graphic designs for complex briefs,Undertake project work,,,,,,,,,,,,,,,,,,,,,,,
ADIP,TAFE SA,Adelaide College of the Arts,Advanced Diploma of Graphic Design/Bachelor of Media – Uni of Adelaide Pathway,Arts and Design,"$13,230 -
                          $14,411",,AUD,Year,,Months,,,,,,,https://www.tafesa.edu.au/xml/course/aw/aw_DP10010.aspx?S=AWD&Y=2021,English,A,"Design your career with this qualification. You’ll learn the skills required to establish, negotiate and refine a design brief, manage design realisation, manage projects, originate graphic designs for complex briefs and extend typographic design expertise.","Graphic designer, Web and multimedia designer, Advertising creative team member.",Australia,Yes,Yes,,Yes,Yes,Diploma of Graphic Design or,Normal,No,Engage in the business of graphic design,Establish and maintain environmentally sustainable creative practice,"Establish, negotiate and refine a design brief",Extend typographic design expertise,Manage design realisation,Originate graphic designs for complex briefs,Undertake project work,,,,,,,,,,,,,,,,,,,,,,,
,TAFE SA,,"Adobe Bundle - Photoshop, InDesign, Illustrator",Arts and Design,,,AUD,Year,,Months,,,,,,,https://www.tafesa.edu.au/xml/course/sc/sc_T701530812.aspx,English,A,,,Australia,Yes,Yes,,Yes,Yes,,Normal,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TAFE SA,,Adobe Illustrator CC (Beginner to Intermediate),Arts and Design,,,AUD,Year,,Months,,,,,,,https://www.tafesa.edu.au/xml/course/sc/sc_T950960856.aspx,English,A,,,Australia,Yes,Yes,,Yes,Yes,,Normal,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TAFE SA,,Adobe InDesign CC (Beginner to Intermediate),Arts and Design,,,AUD,Year,,Months,,,,,,,https://www.tafesa.edu.au/xml/course/sc/sc_T907294947.aspx,English,A,,,Australia,Yes,Yes,,Yes,Yes,,Normal,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TAFE SA,,Adobe Photoshop CC (Beginner to Intermediate),Arts and Design,,,AUD,Year,,Months,,,,,,,https://www.tafesa.edu.au/xml/course/sc/sc_T794832918.aspx,English,A,,,Australia,Yes,Yes,,Yes,Yes,,Normal,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DIP,TAFE SA,,Diploma of Graphic Design,Arts and Design,,,AUD,Year,,Months,,,,,,,https://www.tafesa.edu.au/xml/course/aw/aw_TP00927.aspx?S=INT&Y=2021,English,A,"This course is suited to individuals who wish to make a start in their graphic design career, have a strong creative flair for arts and visual communication and want to produce graphics in a commercial context.",Graphic and multimedia designer.,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Create and manipulate graphics,Design and manipulate complex layouts,Develop and extend design skills and practice,Develop graphic design practice to meet industry needs,Present a body of own creative work,Produce graphic designs for 2-D and 3-D applications,Produce typographic design solutions,Refine drawing and other visual representation tools,Research visual communication history and theory,,,,,,,,,,,,,,,,,,,,,
ADIP,TAFE SA,,Advanced Diploma of Graphic Design,Arts and Design,,,AUD,Year,,Months,,,,,,,https://www.tafesa.edu.au/xml/course/aw/aw_TP00928.aspx?S=INT&Y=2021,English,A,"Design your career with this qualification. You’ll learn the skills required to establish, negotiate and refine a design brief, manage design realisation, manage projects, originate graphic designs for complex briefs and extend typographic design expertise.","Graphic designer, Web and multimedia designer, Advertising creative team member.",Australia,Yes,Yes,,Yes,Yes,,Normal,No,Engage in the business of graphic design,Establish and maintain environmentally sustainable creative practice,"Establish, negotiate and refine a design brief",Extend typographic design expertise,Manage design realisation,Originate graphic designs for complex briefs,Undertake project work,,,,,,,,,,,,,,,,,,,,,,,
CERTIII,TAFE SA,,Certificate III in Design Fundamentals (CUA30715),,,,AUD,Year,,Months,,,,,,,https://www.tafesa.edu.au/xml/course/vet/vet_T729250217.aspx,English,A,,,Australia,Yes,Yes,,Yes,Yes,,Normal,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTI,TAFE SA,Tonsley,Certificate IV in Interior Decoration,Arts and Design,"$15,951",,AUD,Year,12,Months,,,,,,,https://www.tafesa.edu.au/xml/course/aw/aw_TP01132.aspx?S=AWD&Y=2021,English,A,"Gain the skills and knowledge required to provide advice and practical assistance on the finishing and furnishing of existing interior spaces to meet client requirements. Decoration at this level includes residential or commercial environments and involves working directly with clients or with associated professionals such as architects, builders, retailers, interior designers and suppliers required to implement the project.","Retail consultant, Design consultant, Colour consultant, Interior decorator.",Australia,Yes,Yes,,Yes,Yes,"No course admission requirements, however, students wishing to access subsidised training will be required to demonstrate satisfactory reading, writing and numeracy skills",Normal,No,Decorate residential interiors,Design colour schemes for interior and exterior spaces,Explore and apply the creative design process to 2D forms,Explore and apply the creative design process to 3D forms,Produce drawings to communicate ideas,Produce technical drawings,Research and meet ethical and compliance requirements,,,,,,,,,,,,,,,,,,,,,,,
DIP,TAFE SA,Tonsley,Diploma of Interior Design,Arts and Design,"$29,550",,AUD,Year,24,Months,,,,,,,https://www.tafesa.edu.au/xml/course/aw/aw_TP01134.aspx?S=AWD&Y=2021,English,A,"This qualification provides the skills and knowledge required to give design and decoration advice for building interiors, including the development of complete decorative schemes for the effective use of residential and commercial or institutional interior spaces, working with a client brief and within project parameters.","Self employment as an interior decorator, Colour consultant or Interior stylist, In-house interior designer or decorator for design and decoration consultancies, furniture, furnishings and fabric suppliers, furnishing departments of retail stores or shop fitters.",Australia,Yes,Yes,,Yes,Yes,"No course admission requirements, however, students wishing to access subsidised training or VET Student Loans will be required to demonstrate satisfactory reading, writing and numeracy skills",Normal,No,Design colour schemes for interior and exterior spaces,Design residential interior lighting,Design residential interiors,Develop residential interior design project documentation,"Establish, negotiate and refine a design brief",Evaluate site structure and services for interior design briefs,Explore and apply creative design methodology to interior space,Explore and apply the creative design process to 2D forms,Explore and apply the creative design process to 3D forms,Produce digital models and documentation for interior design projects,,,,,,,,,,,,,,,,,,,,
,TAFE SA,,Introduction to Interior Decoration,Arts and Design,,,AUD,Year,,Months,,,,,,,https://www.tafesa.edu.au/xml/course/sc/sc_T861496294.aspx,English,A,,,Australia,Yes,Yes,,Yes,Yes,,Normal,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTI,TAFE SA,,Certificate IV in Kitchen and Bathroom Design,Arts and Design,,,AUD,Year,,Months,,,,,,,https://www.tafesa.edu.au/xml/course/aw/aw_TP01133.aspx?S=INT&Y=2021,English,A,"This course provides the skills and knowledge required to design kitchens, bathrooms and interior spaces to meet client requirements. It targets those designing kitchens, bathrooms and interior spaces that typically feature built-in cabinetry and furniture.",,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Design ancillary residential cabinetry,Detail cabinet construction requirements,Determine spatial planning considerations for bathroom design,Determine spatial planning considerations for kitchen design,Document residential building services,Measure and draw site layout for manufactured furniture products,Plan kitchen and bathroom projects,Prepare quotation and contract documentation for design projects,Produce digital models and documentation for interior design projects,"Research and recommend materials, components and finishes for bathroom designs",,,,,,,,,,,,,,,,,,,,
DIP,TAFE SA,,Diploma of Interior Design,Arts and Design,,,AUD,Year,,Months,,,,,,,https://www.tafesa.edu.au/xml/course/aw/aw_TP01134.aspx?S=INT&Y=2021,English,A,"This qualification provides the skills and knowledge required to give design and decoration advice for building interiors, including the development of complete decorative schemes for the effective use of residential and commercial or institutional interior spaces, working with a client brief and within project parameters.","Self employment as an interior decorator, Colour consultant or Interior stylist, In-house interior designer or decorator for design and decoration consultancies, furniture, furnishings and fabric suppliers, furnishing departments of retail stores or shop fitters.",Australia,Yes,Yes,,Yes,Yes,,Normal,No,Design colour schemes for interior and exterior spaces,Design residential interior lighting,Design residential interiors,Develop residential interior design project documentation,"Establish, negotiate and refine a design brief",Evaluate site structure and services for interior design briefs,Explore and apply creative design methodology to interior space,Explore and apply the creative design process to 2D forms,Explore and apply the creative design process to 3D forms,Produce digital models and documentation for interior design projects,,,,,,,,,,,,,,,,,,,,
,TAFE SA,,Colour Schemes,,,,AUD,Year,,Months,,,,,,,https://www.tafesa.edu.au/xml/course/vet/vet_T105100404.aspx,English,A,,,Australia,Yes,Yes,,Yes,Yes,,Normal,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TAFE SA,,Draw to Communicate,,,,AUD,Year,,Months,,,,,,,https://www.tafesa.edu.au/xml/course/vet/vet_T105100405.aspx,English,A,,,Australia,Yes,Yes,,Yes,Yes,,Normal,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,TAFE SA,,Introduction to Interior Decoration,,,,AUD,Year,,Months,,,,,,,https://www.tafesa.edu.au/xml/course/vet/vet_T105100403.aspx,English,A,,,Australia,Yes,Yes,,Yes,Yes,,Normal,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTIII,TAFE SA,Adelaide College of the Arts,Certificate III Program in Electronic Music Production,Arts and Design,"$5,562",,AUD,Year,9,Months,,,,,,,https://www.tafesa.edu.au/xml/course/aw/aw_CP00265.aspx?S=AWD&Y=2021,English,A,"Do you want to learn Ableton Live and produce your own music? Forge your own path in the music industry and showcase your sound to the world?
This course covers all facets of Electronic Music Production and provides a solid grounding in audio engineering principles and give you the skills in Ableton Live Software, beat creation, synthesizers, sampling, live performance, music industry, mixing & mastering. You’ll gain experience and expertise by studying under the supervision and guidance of industry professionals with access to industry standard equipment and studios.","This qualification reflects the role of individuals who apply a broad range of competencies in a varied work context in the music industry, using some discretion and judgement and relevant theoretical knowledge. Job role titles may include: Music Producer; Electronic Performer/Recording Artist; Remixer; Sound Effects Production.",Australia,Yes,Yes,,Yes,Yes,"No course admission requirements, however, students wishing to access subsidised training will be required to demonstrate satisfactory reading, writing and numeracy skills",Normal,No,Apply knowledge of style and genre to music industry practice,Contribute to health and safety of self and others,Implement copyright arrangements,Work effectively in the music industry,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTI,TAFE SA,Adelaide College of the Arts,Certificate IV in Music Industry (Performance),Arts and Design,"$9,550 -
                          $10,352",,AUD,Year,6,Months,,,,,,,https://www.tafesa.edu.au/xml/course/aw/aw_TP01000.aspx?S=AWD&Y=2021,English,A,"If you have musical skills and a flair for entertainment, a career in music may be for you. This course provides comprehensive training for developing musicians for the commercial music industry. You can select electives such as song writing, mixing live sound and music technology. You’ll gain experience and expertise by studying under the supervision and guidance of industry professionals in an environment of learning at your own pace with access to industry standard equipment and studios.","This qualification reflects the role of individuals who use well-developed skills and a broad knowledge base in a wide variety of contexts. They apply solutions to a defined range of unpredictable problems, and analyse and evaluate information from a variety of sources. Job role titles may include: Musician; Singer-Songwriter, Band Member.",Australia,Yes,Yes,,Yes,Yes,Certificate III in Music Industry (Performance) or,Normal,No,Apply work health and safety practices,"Articulate, present and debate ideas",Investigate micro business opportunities,Use and respect copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTI,TAFE SA,Adelaide College of the Arts,Certificate IV in Music Industry (Sound Production),Arts and Design,"$9,887",,AUD,Year,6,Months,,,,,,,https://www.tafesa.edu.au/xml/course/aw/aw_TP01001.aspx?S=AWD&Y=2021,English,A,"Sound production courses teach you to operate audio equipment to record, edit, mix and master and produce sound for CD, DVD, web, TV, radio, film, video productions and live performance. This course will equip you with the theoretical knowledge and practical skills related to live or studio production to enable you to gain employment in the commercial music and sound production industries. This includes planning and design, installation and operation of live sound production equipment, recording, editing and mixing of music and sound in both studio and performance venue environments with optional real-world work experience opportunities.",This qualification reflects the role of individuals who use well-developed skills and a broad knowledge base in a wide variety of contexts. Job role titles may include: Sound Mixer/Technician; Sound Recordist.,Australia,Yes,Yes,,Yes,Yes,"No course admission requirements, however, students wishing to access subsidised training will be required to demonstrate satisfactory reading, writing and numeracy skills",Normal,No,Apply work health and safety practices,"Articulate, present and debate ideas",Investigate micro business opportunities,Use and respect copyright,,,,,,,,,,,,,,,,,,,,,,,,,,
DIP,TAFE SA,Adelaide College of the Arts,Diploma of Music Industry (Performance),Arts and Design,"$13,355",,AUD,Year,12,Months,,,,,,,https://www.tafesa.edu.au/xml/course/aw/aw_TP01002.aspx?S=AWD&Y=2021,English,A,"If you have musical skills and a flair for entertainment, a career in music may be for you. This qualification will equip you with the skills and knowledge necessary for music performance and production. Explore instrumental and vocal study, ensemble, live performance, composition, music theory, aural training, rhythm, arranging, music craft, contemporary style studies, history, music technology and music business.","This qualification reflects the role of individuals who possess a sound theoretical knowledge base and use a range of specialised, technical or managerial competencies to plan, carry out and evaluate own work and/or that of a team. Job role titles may include: Composer; Instrumentalist; Vocalist.",Australia,Yes,Yes,,Yes,Yes,Certificate IV in Music Industry (Performance) or,Normal,No,Establish and maintain safe creative practice,Manage copyright arrangements,Originate and develop concepts,Provide freelance services,,,,,,,,,,,,,,,,,,,,,,,,,,
DIP,TAFE SA,Adelaide College of the Arts,Diploma of Music Industry (Sound Production),Arts and Design,"$13,815",,AUD,Year,12,Months,,,,,,,https://www.tafesa.edu.au/xml/course/aw/aw_TP01025.aspx?S=AWD&Y=2021,English,A,"Sound production courses teach you to operate audio equipment to record, edit, mix and master and produce sound for CD, DVD, web, TV, radio, film, video productions and live performance. This qualification will equip you with the theoretical knowledge and practical skills related to live or studio production to enable you to gain employment in the commercial music and sound production industries. This includes planning and design, installation and operation of live sound production equipment, recording, editing and mixing of music and sound in both studio and performance venue environments with optional real-world work experience opportunities.","This qualification reflects the role of individuals who possess a sound theoretical knowledge base and use a range of specialised, technical or managerial competencies to plan, carry out and evaluate own work and/or that of a team. Job roles include Assistant Sound Engineer and Sound Designer.",Australia,Yes,Yes,,Yes,Yes,Certificate IV in Music Industry (Sound Production),Normal,No,Establish and maintain safe creative practice,Manage copyright arrangements,Originate and develop concepts,Provide freelance services,,,,,,,,,,,,,,,,,,,,,,,,,,
,TAFE SA,,Introduction to Electronic Music Production,Arts and Design,,,AUD,Year,,Months,,,,,,,https://www.tafesa.edu.au/xml/course/sc/sc_T661748380.aspx,English,A,,,Australia,Yes,Yes,,Yes,Yes,,Normal,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
