Level code,University,City,Courses,Faculty,Int fees,Local fees,Currency,Currency Time,Duration,Duration Time,Prerequiste_1,Prerequiste_2,Prerequiste_3,Prerequiste_1_grade,Prerequiste_2_grade,Prerequiste_3_grade,Website,course_lang,Availability,Description,Career outcomes,Country,Online,Offline,Distance,Face to face,Blended,Remarks,Course delivery mode,Free TAFE,Subject or unit name 1,Subject or unit name 2,Subject or unit name 3,Subject or unit name 4,Subject or unit name 5,Subject or unit name 6,Subject or unit name 7,Subject or unit name 8,Subject or unit name 9,Subject or unit name 10,subject or unit description 1,subject or unit description 2,subject or unit description 3,subject or unit description 4,subject or unit description 5,subject or unit description 6,subject or unit description 7,subject or unit description 8,subject or unit description 9,subject or unit description 10,Subect or unit objective 1,Subect or unit objective 2,Subect or unit objective 3,Subect or unit objective 4,Subect or unit objective 5,Subect or unit objective 6,Subect or unit objective 7,Subect or unit objective 8,Subect or unit objective 9,Subect or unit objective 10
CERTIII,Batchelor Institute ,"Desert People’s Centre Campus
",Certificate III in Conservation and Land Management,"Conservation, Land Management & Horticulture
",,,AUD,Year,1.5,Years,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/CLM_AHC31416_C3_v1.1.pdf,English,A,"This qualification provides a general vocational outcome in the conservation and land management industry. The qualification enables individuals to select an Indigenous land management, lands, parks and wildlife or natural area management context as a job focus or a mix of these.",Job roles and titles can vary at different workplaces. They could include: / Leadership roles as an Indigenous ranger / National parks worker / Revegetation worker or a land rehabilitation worker,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Contribute to work health and safety processes ,Apply environmentally sustainable work practices,Control weeds,Survey pests,Undertake sampling and testing of water,Apply animal trapping techniques,Prepare and apply chemicals,Transport and store chemicals,Plan and construct conventional fencing,Conduct site inspections,,,,,,,,,,,,,,,,,,,,
CERTIII,Batchelor Institute ,"Batchelor Campus, Desert People’s Centre Campus, Borroloola Study Centre, Wadeye
",Certificate III in Early Childhood Education and Care,Early Childhood Education and Care,,,AUD,Year,1-2,Years,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/ECE_CHC30113_C3_v1.3.pdf,English,A,"This qualification reflects the role of workers in a range of Early Childhood Education settings who work within the requirements of the Education and Care Services National Regulations and the National Quality Standard. They support the implementation of an approved learning framework, and support children’s wellbeing, learning and development. Depending on the setting, educators may work under direct supervision or autonomously.",/ Child Care Worker,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Promote Aboriginal and/or Torres Strait Islander cultural safety,Work legally and ethically,Identify and respond to children and young people at risk,Participate in workplace health and safety,Develop cultural competence,Ensure the health and safety of children,Provide care for children,Promote and provide healthy food and drinks,Provide care for babies and toddlers,Develop positive and respectful relationships with children,,,,,,,,,,,,,,,,,,,,
DIP,Batchelor Institute ,"Batchelor Campus, Desert People’s Centre Campus, Borroloola Study Centre, Wadeye
",Diploma of Early Childhood Education and Care,Early Childhood Education and Care,,,AUD,Year,1,Year,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/ECE_CHC50113_DIP_v1.31.pdf,English,A,This qualification reflects the role of early childhood educators who are responsible for designing and implementing curriculum in Early Childhood Education and care services. In doing so they work to implement an approved learning framework within the requirements of the Education and Care Services National Regulations and the National Quality Standard.,"Child Care Worker / Child Care Worker / Children’s Service Area Manager, Director, or Centre Manager / Group, team coordinator, leader (children’s services) / Program Leader (children’s services)",Australia,Yes,Yes,,Yes,Yes,,Normal,No,Promote Aboriginal and/or Torres Strait Islander cultural safety,Develop cultural competence,Ensure the health and safety of children ,Provide care for children,Promote and provide healthy food and drinks,Provide care for babies and toddlers,Develop positive and respectful relationships with children,Use an approved learning framework to guide practice,Establish and maintain a safe and healthy environment for children,Foster the holistic development and wellbeing of the child in early childhood,,,,,,,,,,,,,,,,,,,,
CERTIII,Batchelor Institute ,"Batchelor Campus, Desert People’s Centre Campus",Certificate III in Education Support,Education,,,AUD,Year,18,Months ,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/Education_CHC30213_C3_v1.5.pdf,English,A,"This qualification reflects the role of workers in a range of education settings, including public and independent schools and community education settings, who provide assistance and support to teachers and students under broad-based supervision",Aboriginal and/or Torres Strait Islander education worker / Indigenous language and culture teaching assistant / Education assistant / Language worker / Education assistant (special needs) / Literacy worker / Education support worker / Support worker (working with children with disabilities) / Home tutor / Teacher aide / Homeland teaching assistant / Teacher assistant,Australia,Yes,Yes,,Yes,Yes,,Normal,No,"Comply with legislative, policy and industrial requirements on the education environment",Assist in implementation of planned educational programs ,Contribute to student education in all developmental domains ,Contribute to organisation and management of classroom or centre ,Support the development of literacy and oral language skills ,Support the development of numeracy skills ,Work effectively with students and colleagues,Contribute to the health and safety of students ,Support students with additional needs in the classroom environment,Support behaviour of children and young people,,,,,,,,,,,,,,,,,,,,
CERTIV,Batchelor Institute ,"Batchelor Campus, Desert People’s Centre Campus","Certificate IV in Education Support
",Education,,,AUD,Year,18,Months ,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/Education_CHC40213_C4_v1.4.pdf,English,A,"This qualification reflects the role of workers in a range of education settings, including public and independent schools and community education settings, who provide assistance and support to teachers and students under broad-based supervision",Occupational titles may include: / Aboriginal and/or Torres Strait Islander education worker / Indigenous language and culture teaching assistant / Education assistant / Language worker / Education assistant (special needs) / Literacy worker / Education support worker / Support worker (working with children with disabilities) / Home tutor / Teacher aide / Homeland teaching,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Support behaviour of children and young people ,"Comply with legislative, policy and industrial requirements in the education environment ",Assist in facilitation of student learning,Work with students in need of additional support ,Use educational strategies to support Aboriginal and/or Torres Strait Islander education,Facilitate learning for students with disabilities ,Support learning and implementation of responsible behaviour ,Reflect on and improve own professional practice ,Identify and respond to children and young people at risk ,Work with diverse people,,,,,,,,,,,,,,,,,,,,
DIP,Batchelor Institute ,"Batchelor Campus, Desert People’s Centre Campus","Diploma of Education 
",Education,,,AUD,Year,2.5,Years,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/Education_10183NAT_DIP_v1.3.pdf,English,A,The Qualification provides the opportunity for education workers to broaden their skills and knowledge base in the field of education support work. The qualification covers workers in a range of education and school settings who provide assistance and support in the classroom to facilitate student learning in collaboration with teachers and working with students under broad based supervision.,The qualification occupational titles may include: / Teacher Assistant / Education Worker / Tutor / Homeland teaching assistant / Education assistant (special needs) / Teacher aid / Aboriginal and Torres Strait Islander education officer.,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Work with diverse people,Develop and facilitate culturally competent and collaborative education teams in schools,Develop teams and individuals,Identify and respond to children and young people at risk,Manage legal and ethical compliance,Foster holistic development and wellbeing of children in School Age Care,Maintain and protect Aboriginal and/or Torres Strait Islander education,Reflect on and improve own professional practice,Lead a team to develop and implement Aboriginal and/or Torres Strait Islander programs,Develop and implement policy,,,,,,,,,,,,,,,,,,,,
CERTII,Batchelor Institute ,"Batchelor Campus, Desert People’s Centre Campus, Central Australian communities
","Certificate II in Family Wellbeing
","Family Wellbeing
",,,AUD,Year,6,Months,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/FW_10272NAT_C2_v1.2.pdf,English,A,"The Certificate II in Family Wellbeing is a program that addresses the physical, mental, emotional and spiritual issues that impact on an individual’s wellbeing, family unity and community harmony. The aim of the Certificate II in Family Wellbeing is to address unresolved personal and community issues, which can impact on individuals and families throughout their lives. These can manifest in grief and trauma, suicide and other forms of selfharm, identity issues, use of alcohol and other drug problems, family violence and over representation of Aboriginal and Torres Strait Islander peoples in the justice system.","It provides learners with the skills and knowledge to: / Take ownership of and address their personal issues / Seek relevant support and assistance / Develop the self-confidence to enter vocational training, employment or further education.",Australia,Yes,Yes,,Yes,Yes,,Normal,No,Communicate effectively,Understanding self and improving personal interactions,Managing emotions,Addressing challenging behaviour,Understanding and recognising psychological health,Integrating principles of wellbeing,Managing stress,Investigate a healthy lifestyle,Accessing community and government support services,,,,,,,,,,,,,,,,,,,,,
CERTII,Batchelor Institute ,Batchelor Campus,Certificate II in Aboriginal and/ or Torres Strait Islander Primary Health Care,Health ,,,AUD,Year,1,Year,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/Health_HLT20113_C2_v1.3.pdf,English,A,"This qualification reflects the role of workers who undertake a range of tasks under direct supervision to support the provision of primary health care services to Aboriginal and/or Torres Strait Islander clients and communities. Such work will be performed as part of a health clinic, centre or service. This qualification is suited to Australian Apprenticeship pathways and is appropriate for delivery within VET in Schools programs. No licensing, legislative or certification requirements apply to this qualification at the time of publication. ",Aboriginal and Torres Strait Islander health worker,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Comply with infection prevention and control policies & procedures ,Participate in workplace health & safety ,Provide First Aid ,Work with Aboriginal and/or Torres Strait Islander clients and communities,Support clients to obtain access to health services ,Provide basic health information to clients ,Perform work role in Aboriginal and/or Torres Strait Islander primary health care context ,Provide brief intervention,Transport individuals ,Provide nutrition guidance for specific health care ,,,,,,,,,,,,,,,,,,,,
CERTIV,Batchelor Institute ,Batchelor Campus,Certificate IV in Aboriginal and/ or Torres Strait Islander Primary Health Care ,Health ,,,AUD,Year,2,Years,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/Health_HLT40113_C4_v1.3.pdf,English,A,"This qualification reflects the role of Aboriginal and/or Torres Strait Islander people working to provide a range of support roles to Aboriginal and/or Torres Strait Islander clients and communities, including specific health promotion programs, advice and assistance with selfmanagement of chronic illness These workers can be expected to flexibly assume a variety of job roles and undertake a broad range of tasks either individually or as a member of a multidisciplinary team. ","Job roles of Aboriginal and/or Torres Strait Islander Health Workers vary greatly from the Aboriginal and/or Torres Strait Islander Health Workers may perform their work roles in a range of settings: / Health clinics, services and hospitals. / Aboriginal Community Controlled Health Organisations (ACCHOs). / Rural and remote locations, either through these services, or as visiting services",Australia,Yes,Yes,,Yes,Yes,,Normal,No,Comply with infection prevention and control policies and procedures,Participate in workplace health and safety,Work legally and ethically,Provide first aid,Work in a ATSI primary health care context,Facilitate and advocate for the rights and needs of community members,Undertake basic health assessment ,Assess and support client’s SEWB,"Plan, implement and monitor health care in a PHC context",Deliver PHC programs for ATSI communities,,,,,,,,,,,,,,,,,,,,
CERTIV,Batchelor Institute ,Batchelor Campus,Certificate IV in Aboriginal and/ or Torres Strait Islander Primary Health Care Practice,Health ,,,AUD,Year,2,Years,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/Health_HLT40213_C4_v1.4.pdf,English,A,"This qualification reflects the role of Aboriginal and/or Torres Strait Islander people working to provide a range of clinical primary health care services to Aboriginal and/or Torres Strait Islander clients and communities, including specific health care programs, advice and assistance with, and administration of, medication. These practitioners can be expected to flexibly assume a variety of job roles and undertake a broad range of tasks either individually or as a member of a multidisciplinary team. This qualification addresses the specific legislative responsibilities of Aboriginal and/ or Torres Strait Islander Health Practitioners and is required for national registration with the Aboriginal and Torres Strait Islander Health Practice Board of Australia within Australian Health Practitioner Regulatory Agency (AHPRA).","Aboriginal and/or Torres Strait Islander Health Practitioners may perform their work roles in a range of settings: / Health clinics, services and hospitals. / Aboriginal Community Controlled Health Organisations (ACCHOs). / Rural and remote locations, either through these services, or as visiting services. ",Australia,Yes,Yes,,Yes,Yes,,Normal,No,Comply with infection prevention and control policies and procedures ,Participate in workplace health and safety ,Work legally and ethically ,Provide first aid,Work in a Aboriginal and/or Torres Strait Islander primary health care context,Facilitate and advocate for the rights and needs of community members ,Assess client’s physical wellbeing X 5 blocks ,Assess and support client’s SEWB ,"Plan, implement and monitor health care in a PHC context ",Deliver PHC programs for Aboriginal and/or Torres Strait Islander communities,,,,,,,,,,,,,,,,,,,,
DIP,Batchelor Institute ,Batchelor Campus,Diploma of Aboriginal and/or Torres Strait Islander Primary Health Care Practice,Health ,,,AUD,Year,2,Years,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/Health_HLT50213_DIP_v1.3.pdf,English,A,"This qualification is specific to Aboriginal and/or Torres Strait Islander people working to provide a range of primary health care services to Aboriginal and/or Torres Strait Islander clients. The Diploma of Aboriginal and/or Torres Strait Islander Primary Health Care Practice defines the knowledge and skills for workers involved in Aboriginal and/ or Torres Strait Islander Primary Health Care and who work autonomously under the broad guidance of others. The Diploma qualification covers workers who have a basis of skills and knowledge in primary health care practice, which they may apply in clinical, management or education functions.","Aboriginal and/or Torres Strait Islander Health Workers may perform their work roles in a range of settings: / Health clinics, services and hospitals. / Aboriginal Community Controlled Health Organisations (ACCHOs). / Rural and remote locations, either through these services, or as visiting services.",Australia,Yes,Yes,,Yes,Yes,,Normal,No,Provide first aid ,Implement and monitor infection prevention and control policies and procedures,Manage workplace health and safety,Work legally and ethically,Work in a ATSI primary health care context,Provide nutrition guidance for specific health care,Assess client’s physical wellbeing X 5 blocks,"Plan, implement & monitor health care in a PHC context",Deliver PHC programs for ATSI communities,Administer medications,,,,,,,,,,,,,,,,,,,,
,Batchelor Institute ,Batchelor Campus,Provide Cardiopulmonary Resuscitation (CPR),Health ,,,AUD,Year,4,Hours,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/Health_HLTAID001_v1.0.pdf,English,A,"This unit describes the skills and knowledge required to perform cardiopulmonary resuscitation (CPR) in line with the Australian Resuscitation Council (ARC) guidelines. This unit applies to all workers who may be required to provide CPR in a range of situations, including community and workplace settings. To maintain currency, this unit needs to be revised and reassessed annually. ",All jobs where staff are required to have CPR skills to perform their job role.,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Provide Cardiopulmonary Resuscitation (CPR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Batchelor Institute ,Batchelor Campus,Provide an emergency First Aid response in an education and care setting ,Health ,,,AUD,Year,3,Days,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/Health_HLTAID004_v1.01.pdf,English,A,"This unit describes the skills and knowledge required to provide a First Aid response to infants, children and adults. The unit applies to educators and support staff working within an education and care setting who are required to respond to a first aid emergency, including asthmatic and anaphylactic emergencies. This unit of competency may contribute towards approved First Aid, asthma and anaphylaxis training under the Education and Care Services National Law and the Education and Care Services National Regulations (2011). To maintain currency, this unit needs to be revised and reassessed every three years. The CPR section requires annual renewal.",There are no job roles defined for this course,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Provide an emergency First Aid response in an education and care setting ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Batchelor Institute ,Batchelor Campus,Course in Immunisation Training for Aboriginal Health Workers and Aboriginal Health Practitioners,Health ,,,AUD,Year,1,Week,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/Health_10681NAT_v1.21.pdf,English,A,"The unit develops skills and knowledge required of an immunisation health worker to prepare for an immunisation clinic, manage the vaccine cold chain, consult with clients and provide immunisation information and administer and promote immunisation in Aboriginal communities in accordance with relevant state/territory and national legislation and guidelines. The unit applies to the Aboriginal Health Worker and Aboriginal Health Practitioner working independently or in a team conducting the immunisation service",/ Immunisation Health Worker,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Deliver Immunisation services in Aboriginal communities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Batchelor Institute ,Batchelor Campus,First Aid ,Health ,,,AUD,Year,3,Days,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/Health_UOE108_First-Aid_v1.11.pdf,English,A,"This course describes the skills and knowledge required to perform Cardiopulmonary Resuscitation (CPR) in line with Australian Resuscitation (ARC) guidelines; recognise and respond to life threatening emergencies and provide a First Aid response to a casualty. The course applies to all workers who may be required to provide an emergency first aid response in a range of situations, including community and workplace settings. To maintain currency, this course need to be revised and reassessed every three years. The CPR unit requires annual renewal. Students must demonstrate at least two continuous minutes of CPR on an adult manikin on the floor and an infant on a hard surface. Students will be issued a Statement of Attainment on the successful completion of all three units.",There are no job roles defined for this course.,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Provide cardiopulmonary resuscitation,Provide basic emergency life support,Provide First Aid,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Batchelor Institute ,Batchelor Campus,First Aid for Early Childhood and Education,Health ,,,AUD,Year,3,Days,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/Health_UOE208_v1.011.pdf,English,A,"This unit describes the skills and knowledge required to provide a first aid response to infants, children and adults. The unit applies to educators and support staff working within an education and care setting who are required to respond to a first aid emergency, including asthmatic and anaphylactic emergencies. This unit of competency may contribute towards approved first aid, asthma and anaphylaxis training under the Education and Care Services National Law and the Education and Care Services National Regulations (2011). To maintain currency, this unit needs to be revised and reassessed every three years. The CPR section requires annual renewal.",There are no job roles defined for this course.,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Provide Cardio Pulmonary Resuscitation,Provide emergency Basic Life Support,Provide First Aid,Provide an emergency first aid response in an education and care setting,,,,,,,,,,,,,,,,,,,,,,,,,,
CERTI,Batchelor Institute ,"Batchelor Campus, Desert People’s Centre Campus, Regional centres and within organisations",Certificate I in Access to Vocational Pathways ,"Literacy, Numeracy and Foundation Skills",,,AUD,Year,6,Months,,,,,,,https://www.batchelor.edu.au/biite/wp-content/uploads/LN_FSK10113_C1_v1.1.pdf,English,A,This qualification is designed for individuals who require significant foundation skills support to access a vocational learning pathway.,No job roles are defined for this course. ,Australia,Yes,Yes,,Yes,Yes,,Normal,No,Use basic strategies for work-related learning ,Read & Respond to basic Workplace Information ,Write basic Workplace Information ,Engage in basic Spoken exchanges at Work ,Use digital technology for basic workplace tasks ,Use whole numbers and money up to one thousand for work ,"Locate, compare and use highly familiar measurements at work ",Recognise highly familiar workplace signs and symbols ,Use beginning whole number skills and money up to one hundred for work ,,,,,,,,,,,,,,,,,,,,,
